слово               количество     частота(%)
вскидывая                    1          0.03%
обзывал                      1          0.03%
ль                           1          0.03%
понять                       1          0.03%
жить                         1          0.03%
брови                        1          0.03%
вой                          1          0.03%
собой                        1          0.03%
радости                      1          0.03%
тусклый                      1          0.03%
показывай                    1          0.03%
рвала                        1          0.03%
прикрыл                      1          0.03%
сомневался                   1          0.03%
минуток                      1          0.03%
тонкой                       1          0.03%
ложиться                     1          0.03%
проклятый                    1          0.03%
выселков                     1          0.03%
боль                         1          0.03%
обитателям                   1          0.03%
тюком                        1          0.03%
плечами                      1          0.03%
двигающиеся                  1          0.03%
слышались                    1          0.03%
боли                         1          0.03%
выходившей                   1          0.03%
схватил                      1          0.03%
лбу                          1          0.03%
мужественнее                 1          0.03%
зашлепал                     1          0.03%
длиннополая                  1          0.03%
дуло                         1          0.03%
боку                         1          0.03%
всю                          1          0.03%
хочет                        1          0.03%
судилище                     1          0.03%
внимание                     1          0.03%
видно                        1          0.03%
подушку                      1          0.03%
крайней                      1          0.03%
рядном                       1          0.03%
писаря                       1          0.03%
ходило                       1          0.03%
громадной                    1          0.03%
картинках                    1          0.03%
непонятную                   1          0.03%
наблюдавший                  1          0.03%
пожелаю                      1          0.03%
оттепель                     1          0.03%
очень                        1          0.03%
дожидаясь                    1          0.03%
тварь                        1          0.03%
убедился                     1          0.03%
уставу                       1          0.03%
вставай                      1          0.03%
провожу                      1          0.03%
какое                        1          0.03%
красиво                      1          0.03%
упразднили                   1          0.03%
воет                         1          0.03%
зловещему                    1          0.03%
этому                        1          0.03%
высунул                      1          0.03%
сегодняшним                  1          0.03%
подержался                   1          0.03%
водя                         1          0.03%
одну                         1          0.03%
дьячках                      1          0.03%
губами                       1          0.03%
сверхъестественная           1          0.03%
балаболка                    1          0.03%
одно                         1          0.03%
пол                          1          0.03%
ногу                         1          0.03%
стекло                       1          0.03%
взглядом                     1          0.03%
скользнул                    1          0.03%
человек                      1          0.03%
великодушно                  1          0.03%
одна                         1          0.03%
однообразную                 1          0.03%
кулаком                      1          0.03%
шепнула                      1          0.03%
узнал                        1          0.03%
имение                       1          0.03%
олоферна                     1          0.03%
ямщиком                      1          0.03%
ездить                       1          0.03%
сейчас                       1          0.03%
нога                         1          0.03%
двора                        1          0.03%
взглянула                    1          0.03%
уезжать                      1          0.03%
начинает                     1          0.03%
чьей                         1          0.03%
делаю                        1          0.03%
стучала                      1          0.03%
весь                         1          0.03%
генерала                     1          0.03%
идольская                    1          0.03%
предположениях               1          0.03%
длинной                      1          0.03%
бесовская                    1          0.03%
физических                   1          0.03%
женихи                       1          0.03%
уязвить                      1          0.03%
несчастная                   1          0.03%
человеческая                 1          0.03%
мерно                        1          0.03%
истасканном                  1          0.03%
глядеть                      1          0.03%
продолжалась                 1          0.03%
скворца                      1          0.03%
фу                           1          0.03%
исказилось                   1          0.03%
подушек                      1          0.03%
одной                        1          0.03%
кулдышки                     1          0.03%
глядели                      1          0.03%
языком                       1          0.03%
снова                        1          0.03%
дядьково                     1          0.03%
сначала                      1          0.03%
судорогам                    1          0.03%
звучал                       1          0.03%
наконец                      1          0.03%
света                        1          0.03%
усмехайся                    1          0.03%
боится                       1          0.03%
чьих                         1          0.03%
висящими                     1          0.03%
получил                      1          0.03%
споручено                    1          0.03%
поженился                    1          0.03%
прошла                       1          0.03%
наведъмачила                 1          0.03%
мучеников                    1          0.03%
замело                       1          0.03%
сторону                      1          0.03%
забормотал                   1          0.03%
подпрыгнул                   1          0.03%
пятки                        1          0.03%
могучая                      1          0.03%
пожимая                      1          0.03%
однообразный                 1          0.03%
всему                        1          0.03%
жесткие                      1          0.03%
нагнулся                     1          0.03%
лениво                       1          0.03%
везешь                       1          0.03%
слышала                      1          0.03%
всеми                        1          0.03%
осталось                     1          0.03%
наплюй                       1          0.03%
хитрее                       1          0.03%
жестких                      1          0.03%
хитрей                       1          0.03%
бежать                       1          0.03%
взглянет                     1          0.03%
шеи                          1          0.03%
протянула                    1          0.03%
победительная                1          0.03%
самая                        1          0.03%
хотел                        1          0.03%
выдыхании                    1          0.03%
двигалась                    1          0.03%
трудно                       1          0.03%
тревожно                     1          0.03%
столько                      1          0.03%
такая                        1          0.03%
сном                         1          0.03%
даром                        1          0.03%
воздухе                      1          0.03%
оглянулся                    1          0.03%
неумолкаемому                1          0.03%
глухим                       1          0.03%
одним                        1          0.03%
взглянуть                    1          0.03%
горшками                     1          0.03%
сучья                        1          0.03%
необычайный                  1          0.03%
скроешь                      1          0.03%
ремне                        1          0.03%
кулаками                     1          0.03%
вытерпел                     1          0.03%
помоги                       1          0.03%
садись                       1          0.03%
наказана                     1          0.03%
савелию                      1          0.03%
тряпья                       1          0.03%
старики                      1          0.03%
заступиться                  1          0.03%
прислушивался                1          0.03%
лампочкой                    1          0.03%
точно                        1          0.03%
клажу                        1          0.03%
приходила                    1          0.03%
вези                         1          0.03%
степан                       1          0.03%
локоть                       1          0.03%
угла                         1          0.03%
зашагал                      1          0.03%
даниила                      1          0.03%
жилье                        1          0.03%
забываются                   1          0.03%
замерз                       1          0.03%
общий                        1          0.03%
шло                          1          0.03%
извольте                     1          0.03%
желание                      1          0.03%
механическую                 1          0.03%
рванулась                    1          0.03%
расслышал                    1          0.03%
удивилась                    1          0.03%
желаний                      1          0.03%
убедительности               1          0.03%
